tipo_celular,module_size,SCAMP3_MM,SCAMP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.048,1.0,120,3,2.5,2.72 (1.97-3.48),117,97.5,4.66 (4.34-4.98)
oligodendrocytes 20,271.0,0.123,22.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.18,34.0,455,35,7.69,2.89 (2.32-3.46),420,92.31,4.48 (4.29-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.084,41.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.103,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.056,2.0,122,28,22.95,2.39 (1.89-2.89),94,77.05,4.54 (4.11-4.97)
astrocytes microglia 23,116.0,0.368,82.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.066,1.0,252,29,11.51,2.30 (1.68-2.91),223,88.49,4.33 (4.08-4.58)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.071,35.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.117,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
