tipo_celular,module_size,ZNRF1_MM,ZNRF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.064,2.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,42,11.9,2.60 (2.11-3.10),311,88.1,4.09 (3.90-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.051,1.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.107,8.0,39,10,25.64,3.83 (3.68-3.97),29,74.36,2.76 (2.09-3.42)
da like neurons 11,215.0,0.204,55.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.145,28.0,120,16,13.33,2.76 (2.48-3.03),104,86.67,4.94 (4.62-5.26)
oligodendrocytes 20,938.0,0.075,24.0,169,21,12.43,3.32 (2.76-3.89),148,87.57,3.51 (3.27-3.75)
GABA like neurons 14,2090.0,0.124,29.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.027,2.0,66,11,16.67,1.54 (0.73-2.35),55,83.33,3.63 (3.22-4.03)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,35,12.68,2.92 (2.43-3.41),241,87.32,3.64 (3.40-3.88)
oligodendrocytes 10,2107.0,0.133,44.0,358,47,13.13,2.45 (1.98-2.92),311,86.87,4.11 (3.92-4.30)
connective tissue cells 21,139.0,0.275,40.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.06,26.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11)
oligodendrocytes 16,74.0,0.245,87.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,448.0,0.067,9.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,125.0,0.279,31.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.128,22.0,104,19,18.27,2.30 (1.74-2.87),85,81.73,3.00 (2.68-3.32)
oligodendrocytes 0,2078.0,0.102,25.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.067,21.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347.0,0.125,9.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
