tipo_celular,module_size,KCNC4_MM,KCNC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.088,7.0,28,9,32.14,4.39 (3.38-5.39),19,67.86,5.82 (5.22-6.42)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.223,55.0,262,22,8.4,4.61 (3.49-5.74),240,91.6,4.12 (3.87-4.36)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.164,29.0,455,3,0.66,1.31 (0.04-2.58),452,99.34,4.37 (4.18-4.55)
astrocytes 8,1266.0,0.068,36.0,66,2,3.03,1.10 (-0.65-2.86),64,96.97,3.30 (2.89-3.72)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.046,11.0,105,4,3.81,0.87 (0.13-1.61),101,96.19,3.31 (2.98-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.274,26.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,251.0,0.119,15.0,34,7,20.59,4.06 (2.84-5.28),27,79.41,5.71 (5.11-6.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
