tipo_celular,module_size,CTBP1_MM,CTBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.103,14.0,140,2,1.43,NA,138,98.57,4.51 (4.08-4.93)
T cells 18,393,0.09,7.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,932,0.076,7.0,80,4,5.0,3.92 (3.42-4.43),76,95.0,3.66 (3.22-4.09)
oligodendrocyte progenitor cells 7,4285,0.117,24.0,353,60,17.0,2.20 (1.92-2.49),293,83.0,4.36 (4.18-4.54)
GABA neurons expressing GLU receptors 22,823,0.106,10.0,23,4,17.39,2.73 (1.56-3.90),19,82.61,2.30 (1.42-3.18)
GLU like neurons 17,795,0.055,4.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,1220,0.066,3.0,410,10,2.44,2.68 (1.68-3.67),400,97.56,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,77,0.164,47.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,338,0.059,3.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,253,0.184,62.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.126,17.0,455,22,4.84,1.56 (0.98-2.15),433,95.16,4.53 (4.36-4.71)
astrocytes 8,727,0.124,60.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143,0.033,5.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,735,0.087,44.0,277,3,1.08,6.03 (5.93-6.13),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,125,0.474,100.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,338,0.16,57.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,113,0.252,78.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,307,0.13,60.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,114,0.325,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.16,78.0,104,29,27.88,1.96 (1.54-2.39),75,72.12,3.25 (2.93-3.57)
oligodendrocytes 0,2078,0.099,20.0,238,18,7.56,2.65 (2.13-3.17),220,92.44,3.73 (3.49-3.96)
microglia 1,958,0.047,1.0,290,18,6.21,3.11 (2.30-3.91),272,93.79,3.86 (3.62-4.10)
oligodendrocytes 3,457,0.039,3.0,345,9,2.61,3.24 (2.32-4.15),336,97.39,4.31 (4.10-4.52)
oligodendrocytes 2,1630,0.155,77.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
