tipo_celular,module_size,PLXDC2_MM,PLXDC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.374,81.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.127,37.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.311,86.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,192.0,0.181,73.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489.0,0.169,67.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,82.0,0.427,86.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.154,43.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,450.0,0.295,68.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.713,97.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.152,24.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,279.0,0.195,18.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,708.0,0.234,82.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.35,95.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,114.0,0.244,41.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,418.0,0.238,62.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287.0,0.279,44.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,398.0,0.248,79.0,138,1,0.72,0.55 (NA-NA),137,99.28,4.86 (4.50-5.23)
astrocytes microglia 23,229.0,0.587,100.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,161.0,0.304,91.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479.0,0.172,64.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,315.0,0.31,92.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,99.0,0.23,53.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,348.0,0.446,98.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
