tipo_celular,module_size,RPL41_MM,RPL41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.463,87.0,98,22,22.45,2.53 (1.96-3.10),76,77.55,3.48 (2.88-4.08)
T cells 18,506.0,0.61,99.0,225,22,9.78,2.51 (1.95-3.06),203,90.22,3.76 (3.49-4.02)
astrocytes 5,328.0,0.401,93.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94)
oligodendrocyte progenitor cells 7,448.0,0.437,99.0,108,10,9.26,3.57 (3.00-4.15),98,90.74,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.174,58.0,213,24,11.27,1.95 (1.34-2.56),189,88.73,4.05 (3.82-4.29)
endothelial cells 9,916.0,0.699,100.0,302,10,3.31,3.14 (2.23-4.05),292,96.69,4.02 (3.79-4.25)
oligodendrocytes 20,938.0,0.276,93.0,169,16,9.47,2.73 (2.05-3.42),153,90.53,3.57 (3.34-3.80)
GABA like neurons 14,2402.0,0.648,97.0,455,31,6.81,1.96 (1.45-2.47),424,93.19,4.56 (4.39-4.74)
astrocytes 8,603.0,0.272,96.0,89,19,21.35,2.40 (1.77-3.02),70,78.65,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049.0,0.56,100.0,235,11,4.68,3.47 (2.97-3.98),224,95.32,3.84 (3.60-4.09)
oligodendrocytes 10,483.0,0.562,100.0,129,11,8.53,3.57 (3.00-4.15),118,91.47,3.42 (2.99-3.84)
connective tissue cells 21,301.0,0.658,98.0,158,17,10.76,2.62 (1.97-3.28),141,89.24,4.52 (4.13-4.91)
astrocytes 15,458.0,0.02,1.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01)
oligodendrocytes 16,96.0,0.447,100.0,102,26,25.49,2.20 (1.70-2.70),76,74.51,3.84 (3.48-4.19)
da neurons 6,729.0,0.311,97.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00)
astrocytes microglia 23,137.0,0.467,84.0,188,29,15.43,2.16 (1.66-2.66),159,84.57,4.87 (4.53-5.21)
astrocytes 4,208.0,0.224,65.0,173,9,5.2,3.57 (3.00-4.15),164,94.8,3.81 (3.49-4.13)
oligodendrocytes 0,546.0,0.311,90.0,252,32,12.7,2.05 (1.55-2.55),220,87.3,4.46 (4.22-4.70)
microglia 1,406.0,0.635,100.0,278,9,3.24,3.69 (3.08-4.30),269,96.76,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.343,99.0,154,10,6.49,3.57 (3.00-4.15),144,93.51,3.62 (3.29-3.96)
oligodendrocytes 2,526.0,0.489,92.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
