tipo_celular,module_size,HMG20A_MM,HMG20A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.074,4.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.112,26.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.122,35.0,166,20,12.05,1.70 (1.27-2.12),146,87.95,3.68 (3.43-3.93)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,34,9.63,1.61 (1.31-1.91),319,90.37,4.22 (4.04-4.39)
GABA neurons expressing GLU receptors 22,703.0,0.125,18.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,489.0,0.108,29.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,204.0,0.278,80.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.074,9.0,297,1,0.34,4.62 (NA-NA),296,99.66,3.67 (3.47-3.87)
oligodendrocytes 20,938.0,0.108,41.0,169,4,2.37,0.95 (0.27-1.63),165,97.63,3.56 (3.34-3.77)
GABA like neurons 14,3052.0,0.179,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.083,52.0,66,9,13.64,0.86 (0.48-1.24),57,86.36,3.67 (3.29-4.05)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,28,10.14,1.71 (1.49-1.94),248,89.86,3.81 (3.59-4.03)
oligodendrocytes 10,2107.0,0.094,26.0,358,37,10.34,1.55 (1.27-1.84),321,89.66,4.24 (4.06-4.41)
connective tissue cells 21,116.0,0.279,49.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.049,13.0,105,12,11.43,1.19 (0.90-1.48),93,88.57,3.50 (3.16-3.84)
oligodendrocytes 16,121.0,0.152,14.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.22,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.138,27.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.091,3.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.1,32.0,290,5,1.72,1.23 (0.82-1.64),285,98.28,3.87 (3.64-4.10)
oligodendrocytes 3,1003.0,0.082,35.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.113,8.0,84,5,5.95,1.82 (0.34-3.31),79,94.05,2.76 (2.42-3.10)
