tipo_celular,module_size,SUGCT_MM,SUGCT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.124,39.0,166,3,1.81,1.92 (0.57-3.26),163,98.19,3.42 (3.17-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,9,2.55,1.12 (0.49-1.75),344,97.45,3.98 (3.80-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.226,87.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.055,3.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,109.0,0.123,16.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.209,83.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,283.0,0.234,90.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.1,45.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.256,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.113,74.0,105,3,2.86,2.34 (1.82-2.86),102,97.14,3.24 (2.90-3.58)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.249,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.152,47.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
