tipo_celular,module_size,SAP18_MM,SAP18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.195,62.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.194,67.0,164,3,1.83,NA,161,98.17,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,400.0,0.23,68.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.351,88.0,410,9,2.2,3.15 (2.05-4.24),401,97.8,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,67.0,0.268,91.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.294,70.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,403.0,0.086,38.0,18,11,61.11,1.15 (0.57-1.74),7,38.89,3.01 (1.96-4.07)
GABA like neurons 14,2402.0,0.622,96.0,455,31,6.81,1.80 (1.42-2.19),424,93.19,4.61 (4.43-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.098,54.0,235,5,2.13,3.17 (3.09-3.26),230,97.87,3.84 (3.60-4.08)
oligodendrocytes 10,806.0,0.244,70.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,301.0,0.368,49.0,158,9,5.7,2.70 (1.58-3.83),149,94.3,4.40 (4.02-4.77)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.22,51.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,729.0,0.199,72.0,182,5,2.75,1.71 (1.16-2.26),177,97.25,3.70 (3.45-3.96)
astrocytes microglia 23,96.0,0.372,78.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.156,43.0,252,21,8.33,1.52 (1.02-2.02),231,91.67,4.41 (4.18-4.64)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.171,73.0,345,1,0.29,3.22 (NA-NA),344,99.71,4.28 (4.07-4.49)
oligodendrocytes 2,526.0,0.219,36.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
