tipo_celular,module_size,PRKAB2_MM,PRKAB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,33,9.35,2.31 (1.79-2.84),320,90.65,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,400.0,0.205,55.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19)
GLU like neurons 17,795.0,0.131,50.0,80,2,2.5,4.07 (4.07-4.07),78,97.5,5.74 (5.32-6.16)
da like neurons 11,142.0,0.111,18.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.466,95.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.09,12.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,25,9.06,2.45 (1.98-2.92),251,90.94,3.69 (3.46-3.92)
oligodendrocytes 10,735.0,0.059,19.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.277,84.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.411,75.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,7,2.94,2.88 (1.68-4.07),231,97.06,3.66 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.066,17.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.153,74.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
