tipo_celular,module_size,RAN_MM,RAN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.163,43.0,225,36,16.0,3.14 (2.49-3.80),189,84.0,3.72 (3.46-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.219,76.0,164,5,3.05,3.18 (2.16-4.19),159,96.95,4.12 (3.79-4.46)
GABA neurons expressing GLU receptors 22,848.0,0.308,78.0,262,59,22.52,3.43 (3.03-3.83),203,77.48,4.40 (4.11-4.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.318,84.0,410,72,17.56,3.85 (3.49-4.22),338,82.44,4.34 (4.13-4.56)
GABA neurons expressing GABA receptors 13,417.0,0.156,47.0,213,46,21.6,2.62 (2.16-3.09),167,78.4,4.15 (3.90-4.41)
endothelial cells 9,916.0,0.271,66.0,302,23,7.62,3.48 (2.97-3.99),279,92.38,4.04 (3.80-4.28)
oligodendrocytes 20,250.0,0.148,32.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.74,100.0,455,91,20.0,3.47 (3.06-3.88),364,80.0,4.62 (4.42-4.81)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.158,77.0,235,25,10.64,3.96 (3.53-4.39),210,89.36,3.81 (3.55-4.06)
oligodendrocytes 10,735.0,0.279,98.0,277,16,5.78,4.96 (4.13-5.80),261,94.22,3.82 (3.57-4.07)
connective tissue cells 21,139.0,0.432,97.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.248,61.0,291,49,16.84,3.43 (3.06-3.80),242,83.16,4.54 (4.29-4.80)
da neurons 6,729.0,0.199,72.0,182,10,5.49,2.66 (1.59-3.74),172,94.51,3.71 (3.45-3.96)
astrocytes microglia 23,126.0,0.416,88.0,1,1,100.0,5.16 (NA-NA),0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.141,32.0,252,56,22.22,2.93 (2.48-3.39),196,77.78,4.52 (4.25-4.78)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.193,79.0,345,67,19.42,3.72 (3.32-4.12),278,80.58,4.43 (4.19-4.67)
oligodendrocytes 2,526.0,0.229,40.0,213,13,6.1,3.96 (3.91-4.01),200,93.9,3.98 (3.68-4.28)
