tipo_celular,module_size,TAF7_MM,TAF7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.15,47.0,71,14,19.72,2.64 (1.94-3.34),57,80.28,2.62 (2.12-3.11)
T cells 18,393.0,0.132,35.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.152,41.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40)
GABA neurons expressing GLU receptors 22,703.0,0.226,74.0,23,3,13.04,2.06 (0.90-3.21),20,86.96,2.10 (1.29-2.91)
GLU like neurons 17,1316.0,0.09,19.0,101,2,1.98,2.92 (2.78-3.07),99,98.02,3.06 (2.70-3.41)
da like neurons 11,1220.0,0.25,71.0,410,18,4.39,2.72 (2.16-3.28),392,95.61,4.34 (4.15-4.53)
GABA neurons expressing GABA receptors 13,265.0,0.125,30.0,78,4,5.13,2.50 (1.61-3.40),74,94.87,4.49 (4.07-4.91)
endothelial cells 9,338.0,0.136,51.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,233.0,0.07,7.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.183,35.0,455,35,7.69,2.17 (1.70-2.63),420,92.31,4.60 (4.42-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,76,27.54,2.37 (2.15-2.58),200,72.46,4.13 (3.87-4.39)
oligodendrocytes 10,806.0,0.187,59.0,261,5,1.92,2.45 (1.95-2.95),256,98.08,4.42 (4.17-4.66)
connective tissue cells 21,90.0,0.315,65.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.25,71.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,228.0,0.144,79.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,126.0,0.275,22.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.142,50.0,127,27,21.26,2.50 (2.12-2.87),100,78.74,3.28 (2.72-3.83)
microglia 1,1615.0,0.095,27.0,161,73,45.34,2.31 (2.06-2.56),88,54.66,4.36 (4.03-4.69)
oligodendrocytes 3,457.0,0.084,31.0,345,19,5.51,3.60 (2.85-4.35),326,94.49,4.33 (4.11-4.54)
oligodendrocytes 2,528.0,0.212,57.0,175,5,2.86,2.63 (1.39-3.88),170,97.14,4.46 (4.10-4.81)
