tipo_celular,module_size,NUP188_MM,NUP188_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.12,56.0,136,2,1.47,4.36 (3.99-4.72),134,98.53,3.19 (2.92-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,40,11.33,3.26 (2.63-3.88),313,88.67,3.99 (3.80-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.236,78.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.078,7.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60)
astrocytes 8,577.0,0.053,20.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,1049.0,0.064,29.0,235,3,1.28,3.45 (0.69-6.20),232,98.72,3.83 (3.60-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.072,37.0,96,3,3.12,2.86 (1.17-4.54),93,96.88,3.63 (3.17-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.303,47.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,255.0,0.142,25.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
