tipo_celular,module_size,TRIM69_MM,TRIM69_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,48,13.6,2.37 (1.91-2.82),305,86.4,4.14 (3.96-4.33)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.087,22.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15)
da like neurons 11,204.0,0.12,26.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.127,37.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.092,13.0,125,8,6.4,3.70 (2.81-4.60),117,93.6,3.34 (3.01-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.041,9.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.361,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
