tipo_celular,module_size,LONP1_MM,LONP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.212,69.0,241,11,4.56,3.00 (2.44-3.57),230,95.44,4.11 (3.85-4.38)
astrocytes 5,1656.0,0.092,16.0,136,4,2.94,2.06 (1.08-3.05),132,97.06,3.25 (2.97-3.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.111,9.0,262,28,10.69,2.73 (2.27-3.20),234,89.31,4.40 (4.14-4.66)
GLU like neurons 17,300.0,0.207,67.0,16,6,37.5,2.92 (2.30-3.55),10,62.5,1.45 (0.17-2.73)
da like neurons 11,853.0,0.143,59.0,133,26,19.55,1.79 (1.37-2.20),107,80.45,3.69 (3.36-4.03)
GABA neurons expressing GABA receptors 13,80.0,0.192,73.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.042,1.0,302,8,2.65,2.89 (1.38-4.39),294,97.35,4.02 (3.80-4.25)
oligodendrocytes 20,271.0,0.157,43.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.125,17.0,455,38,8.35,2.32 (1.92-2.72),417,91.65,4.61 (4.42-4.79)
astrocytes 8,603.0,0.113,71.0,89,7,7.87,1.70 (0.92-2.48),82,92.13,2.89 (2.52-3.26)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.121,64.0,277,2,0.72,3.69 (2.58-4.80),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.116,74.0,96,4,4.17,2.06 (1.44-2.68),92,95.83,3.70 (3.23-4.16)
oligodendrocytes 16,107.0,0.257,75.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448.0,0.041,0.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,63.0,0.271,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.149,59.0,104,26,25.0,2.10 (1.67-2.53),78,75.0,3.15 (2.82-3.47)
oligodendrocytes 0,2078.0,0.085,6.0,238,10,4.2,2.30 (1.68-2.93),228,95.8,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.06,18.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.156,80.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
