tipo_celular,module_size,DGKG_MM,DGKG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.383,96.0,98,5,5.1,3.14 (1.81-4.46),93,94.9,4.69 (4.28-5.11)
oligodendrocyte progenitor cells 7,436.0,0.074,14.0,219,1,0.46,2.43 (NA-NA),218,99.54,5.23 (4.94-5.52)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.255,87.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.244,93.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,279.0,0.286,53.0,78,13,16.67,2.63 (2.30-2.96),65,83.33,4.72 (4.28-5.16)
oligodendrocyte progenitor cells 12,411.0,0.375,85.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.512,92.0,54,4,7.41,2.97 (1.87-4.07),50,92.59,3.75 (3.28-4.21)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.317,62.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,201.0,0.238,84.0,18,8,44.44,3.25 (2.78-3.73),10,55.56,5.82 (4.67-6.97)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
