tipo_celular,module_size,SCD_MM,SCD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.205,59.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.241,71.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.364,88.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.285,80.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,408.0,0.341,78.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.378,77.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,358.0,0.119,33.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58)
GABA like neurons 14,3052.0,0.069,5.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.491,92.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.404,93.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,236.0,0.479,48.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.22,86.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.357,64.0,105,6,5.71,1.50 (0.94-2.05),99,94.29,5.41 (5.01-5.81)
da neurons 6,398.0,0.189,64.0,138,9,6.52,1.28 (0.72-1.83),129,93.48,5.12 (4.78-5.46)
astrocytes microglia 23,134.0,0.324,56.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,102.0,0.178,42.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,546.0,0.249,79.0,252,24,9.52,2.02 (1.45-2.59),228,90.48,4.39 (4.15-4.63)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.541,95.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,528.0,0.6,100.0,175,9,5.14,3.00 (2.24-3.75),166,94.86,4.48 (4.12-4.85)
