tipo_celular,module_size,KMT2D_MM,KMT2D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.21,87.0,71,13,18.31,2.71 (1.85-3.57),58,81.69,2.60 (2.13-3.07)
T cells 18,393.0,0.159,55.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,1656.0,0.109,39.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,73,20.68,2.35 (2.07-2.63),280,79.32,4.42 (4.24-4.61)
GABA neurons expressing GLU receptors 22,567.0,0.133,21.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.144,30.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.106,33.0,297,15,5.05,4.36 (3.57-5.15),282,94.95,3.66 (3.45-3.86)
oligodendrocytes 20,348.0,0.029,5.0,33,4,12.12,3.08 (2.62-3.53),29,87.88,2.68 (2.12-3.24)
GABA like neurons 14,2090.0,0.12,26.0,74,20,27.03,2.59 (2.16-3.01),54,72.97,3.08 (2.59-3.57)
astrocytes 8,260.0,0.101,35.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,57,20.65,2.31 (2.04-2.58),219,79.35,3.98 (3.73-4.22)
oligodendrocytes 10,2107.0,0.078,16.0,358,95,26.54,2.39 (2.11-2.68),263,73.46,4.50 (4.31-4.68)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.11,29.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,64.0,0.516,100.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.346,46.0,3,1,33.33,1.82 (NA-NA),2,66.67,NA
astrocytes 4,1807.0,0.174,94.0,104,33,31.73,1.99 (1.61-2.37),71,68.27,3.32 (2.99-3.65)
oligodendrocytes 0,2078.0,0.119,60.0,238,25,10.5,3.04 (2.58-3.49),213,89.5,3.72 (3.48-3.96)
microglia 1,958.0,0.113,53.0,290,18,6.21,2.56 (1.99-3.14),272,93.79,3.91 (3.68-4.15)
oligodendrocytes 3,357.0,0.062,21.0,127,11,8.66,3.94 (2.87-5.01),116,91.34,3.08 (2.74-3.42)
oligodendrocytes 2,1630.0,0.149,66.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52)
