tipo_celular,module_size,NAB1_MM,NAB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.187,73.0,71,6,8.45,2.37 (0.94-3.81),65,91.55,2.65 (2.22-3.08)
T cells 18,610.0,0.25,96.0,98,26,26.53,1.82 (1.34-2.31),72,73.47,3.66 (3.35-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,44,12.46,2.16 (1.81-2.51),309,87.54,4.22 (4.04-4.41)
GABA neurons expressing GLU receptors 22,400.0,0.183,41.0,24,5,20.83,0.42 (0.32-0.52),19,79.17,2.61 (2.16-3.07)
GLU like neurons 17,1316.0,0.064,6.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,132.0,0.19,37.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.151,34.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.323,85.0,28,9,32.14,3.04 (2.37-3.71),19,67.86,1.74 (1.24-2.24)
GABA like neurons 14,3052.0,0.198,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,34,12.32,2.16 (1.84-2.49),242,87.68,3.81 (3.57-4.04)
oligodendrocytes 10,735.0,0.037,6.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,104.0,0.282,51.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,199.0,0.091,2.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553.0,0.119,43.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,122.0,0.37,86.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.139,92.0,238,11,4.62,2.61 (1.85-3.37),227,95.38,3.70 (3.47-3.92)
microglia 1,958.0,0.134,79.0,290,9,3.1,2.76 (1.75-3.77),281,96.9,3.86 (3.62-4.09)
oligodendrocytes 3,1003.0,0.074,25.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.149,66.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
