tipo_celular,module_size,ZFP64_MM,ZFP64_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.093,18.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,40,11.33,1.81 (1.52-2.11),313,88.67,4.25 (4.07-4.42)
GABA neurons expressing GLU receptors 22,1069.0,0.218,83.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1316.0,0.088,18.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.081,11.0,133,30,22.56,1.66 (1.37-1.94),103,77.44,3.83 (3.50-4.17)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.466,96.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.092,10.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58)
astrocytes 8,1266.0,0.073,40.0,66,10,15.15,1.12 (0.48-1.77),56,84.85,3.67 (3.29-4.06)
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,34,12.32,1.94 (1.70-2.19),242,87.68,3.85 (3.62-4.08)
oligodendrocytes 10,1277.0,0.056,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.455,100.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,261.0,0.33,95.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,121.0,0.259,80.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.325,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.116,9.0,104,16,15.38,1.29 (1.00-1.59),88,84.62,3.18 (2.89-3.46)
oligodendrocytes 0,309.0,0.098,14.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.047,6.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.118,12.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
