tipo_celular,module_size,MTMR6_MM,MTMR6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.179,66.0,71,2,2.82,1.71 (-1.24-4.67),69,97.18,2.65 (2.24-3.07)
T cells 18,610.0,0.177,69.0,98,17,17.35,1.41 (0.86-1.96),81,82.65,3.53 (3.23-3.83)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.162,87.0,353,39,11.05,2.75 (1.95-3.54),314,88.95,4.04 (3.86-4.21)
GABA neurons expressing GLU receptors 22,848.0,0.237,60.0,262,4,1.53,0.95 (0.08-1.83),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,1316.0,0.114,42.0,101,4,3.96,2.55 (2.05-3.04),97,96.04,3.07 (2.71-3.43)
da like neurons 11,1220.0,0.187,52.0,410,8,1.95,2.67 (1.88-3.46),402,98.05,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,70.0,0.192,66.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,338.0,0.105,35.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,228.0,0.263,71.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.195,90.0,125,8,6.4,5.72 (4.08-7.36),117,93.6,3.23 (2.92-3.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.096,70.0,276,35,12.68,3.64 (2.84-4.43),241,87.32,3.53 (3.31-3.75)
oligodendrocytes 10,806.0,0.141,43.0,261,2,0.77,2.18 (2.06-2.29),259,99.23,4.39 (4.15-4.63)
connective tissue cells 21,139.0,0.312,54.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.226,52.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,300.0,0.104,23.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,115.0,0.285,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.155,100.0,238,5,2.1,2.42 (1.31-3.52),233,97.9,3.67 (3.44-3.89)
microglia 1,958.0,0.105,41.0,290,3,1.03,2.97 (1.98-3.97),287,98.97,3.82 (3.59-4.06)
oligodendrocytes 3,743.0,0.084,55.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.165,89.0,200,10,5.0,2.42 (1.22-3.62),190,95.0,3.65 (3.38-3.92)
