tipo_celular,module_size,TRAPPC11_MM,TRAPPC11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.059,2.0,71,10,14.08,3.17 (2.11-4.24),61,85.92,2.51 (2.07-2.95)
T cells 18,624.0,0.181,72.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44)
astrocytes 5,1656.0,0.097,22.0,136,5,3.68,3.90 (3.01-4.79),131,96.32,3.18 (2.90-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,36,10.2,2.72 (2.16-3.28),317,89.8,4.07 (3.88-4.26)
GABA neurons expressing GLU receptors 22,400.0,0.1,5.0,24,10,41.67,1.19 (0.50-1.88),14,58.33,2.85 (2.38-3.31)
GLU like neurons 17,380.0,0.134,25.0,39,4,10.26,3.12 (1.94-4.30),35,89.74,2.95 (2.34-3.55)
da like neurons 11,87.0,0.117,11.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.119,43.0,297,2,0.67,4.27 (3.13-5.40),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,275.0,0.341,87.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.147,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.125,61.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.139,97.0,276,22,7.97,3.15 (2.54-3.76),254,92.03,3.59 (3.36-3.82)
oligodendrocytes 10,2107.0,0.091,24.0,358,28,7.82,2.22 (1.66-2.78),330,92.18,4.05 (3.86-4.24)
connective tissue cells 21,88.0,0.266,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.06,23.0,105,11,10.48,2.01 (1.25-2.78),94,89.52,3.37 (3.01-3.72)
oligodendrocytes 16,65.0,0.157,32.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.281,30.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787.0,0.162,70.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.137,91.0,238,13,5.46,3.58 (2.66-4.50),225,94.54,3.64 (3.41-3.87)
microglia 1,1615.0,0.091,24.0,161,18,11.18,1.69 (1.09-2.28),143,88.82,3.52 (3.25-3.79)
oligodendrocytes 3,1003.0,0.057,10.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63)
oligodendrocytes 2,1630.0,0.147,60.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50)
