tipo_celular,module_size,SELENOO_MM,SELENOO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.147,41.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,393.0,0.133,37.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.101,27.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,19,5.38,1.48 (0.98-1.97),334,94.62,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,823.0,0.194,59.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,1247.0,0.089,18.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853.0,0.16,67.0,133,11,8.27,1.07 (0.47-1.66),122,91.73,3.49 (3.18-3.80)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.034,8.0,33,4,12.12,3.15 (2.69-3.60),29,87.88,2.67 (2.12-3.22)
GABA like neurons 14,2090.0,0.174,63.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.06,35.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,11,3.99,2.01 (1.43-2.59),265,96.01,3.63 (3.40-3.85)
oligodendrocytes 10,2107.0,0.062,10.0,358,19,5.31,1.49 (0.99-1.99),339,94.69,4.04 (3.86-4.23)
connective tissue cells 21,114.0,0.294,58.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,1768.0,0.113,74.0,105,9,8.57,1.66 (1.03-2.29),96,91.43,3.37 (3.02-3.72)
oligodendrocytes 16,75.0,0.227,73.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.258,19.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,787.0,0.149,46.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,2078.0,0.11,41.0,238,5,2.1,2.31 (1.26-3.36),233,97.9,3.67 (3.45-3.89)
microglia 1,958.0,0.09,19.0,290,3,1.03,1.70 (1.44-1.96),287,98.97,3.84 (3.61-4.07)
oligodendrocytes 3,357.0,0.06,20.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.147,62.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
