tipo_celular,module_size,NUDT9_MM,NUDT9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.143,30.0,127,6,4.72,3.72 (2.67-4.78),121,95.28,3.83 (3.49-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,153.0,0.184,34.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.095,41.0,275,25,9.09,1.38 (0.89-1.86),250,90.91,4.20 (3.95-4.46)
oligodendrocytes 20,250.0,0.015,1.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.094,7.0,455,32,7.03,2.02 (1.50-2.54),423,92.97,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.049,15.0,235,9,3.83,3.32 (2.27-4.37),226,96.17,3.84 (3.60-4.07)
oligodendrocytes 10,483.0,0.035,4.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,100.0,0.35,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.162,27.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.426,95.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.111,43.0,238,5,2.1,1.82 (0.56-3.08),233,97.9,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.048,6.0,87,14,16.09,1.65 (1.10-2.20),73,83.91,2.76 (2.48-3.05)
oligodendrocytes 2,1630.0,0.141,48.0,154,3,1.95,2.35 (1.58-3.12),151,98.05,3.27 (3.00-3.53)
