tipo_celular,module_size,PABPN1_MM,PABPN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.118,20.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349.0,0.107,21.0,68,6,8.82,1.47 (0.97-1.98),62,91.18,4.75 (4.21-5.28)
astrocytes 5,932.0,0.091,22.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.081,3.0,353,50,14.16,2.71 (2.14-3.27),303,85.84,4.14 (3.97-4.32)
GABA neurons expressing GLU receptors 22,567.0,0.114,13.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.074,10.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.036,1.0,54,2,3.7,5.24 (5.14-5.33),52,96.3,4.81 (4.15-5.47)
oligodendrocytes 20,403.0,0.3,93.0,18,11,61.11,1.32 (0.67-1.96),7,38.89,2.76 (1.55-3.96)
GABA like neurons 14,2090.0,0.091,10.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43)
astrocytes 8,603.0,0.079,52.0,89,10,11.24,1.50 (1.10-1.90),79,88.76,2.99 (2.61-3.37)
oligodendrocyte progenitor cells 12,708.0,0.075,31.0,32,8,25.0,1.16 (0.20-2.12),24,75.0,3.94 (3.09-4.78)
oligodendrocytes 10,483.0,0.041,6.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,142.0,0.266,23.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,1401.0,0.127,81.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,156.0,0.241,78.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.177,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.207,100.0,61,2,3.28,4.52 (4.52-4.52),59,96.72,2.91 (2.49-3.33)
oligodendrocytes 0,2078.0,0.09,10.0,238,16,6.72,4.38 (3.34-5.42),222,93.28,3.57 (3.35-3.79)
microglia 1,1615.0,0.073,5.0,161,32,19.88,1.56 (1.22-1.90),129,80.12,3.80 (3.54-4.06)
oligodendrocytes 3,303.0,0.049,4.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,1630.0,0.148,64.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
