tipo_celular,module_size,UST_MM,UST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.391,94.0,102,9,8.82,1.76 (1.13-2.38),93,91.18,3.68 (3.30-4.05)
T cells 18,727.0,0.178,76.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,499.0,0.177,60.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.068,11.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,823.0,0.303,96.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,795.0,0.27,90.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,71.0,0.431,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.501,90.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.158,66.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262.0,0.247,89.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,254.0,0.168,24.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,91.0,0.271,38.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768.0,0.083,47.0,105,12,11.43,1.65 (1.17-2.14),93,88.57,3.43 (3.08-3.78)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.221,29.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,220.0,0.126,24.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.302,85.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
