tipo_celular,module_size,RALGPS1_MM,RALGPS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.223,63.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.177,48.0,68,7,10.29,2.58 (1.17-4.00),61,89.71,4.65 (4.08-5.21)
astrocytes 5,932.0,0.126,75.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,5,1.42,2.61 (0.48-4.73),348,98.58,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,192.0,0.093,21.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247.0,0.211,87.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,145.0,0.259,57.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.233,57.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.173,43.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.34,95.0,306,24,7.84,3.00 (2.20-3.80),282,92.16,5.34 (5.09-5.60)
astrocytes 8,1266.0,0.108,71.0,66,6,9.09,3.10 (1.44-4.76),60,90.91,3.24 (2.81-3.67)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.229,96.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,69.0,0.27,39.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.091,53.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,155.0,0.19,34.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.285,62.0,7,2,28.57,7.18 (NA-NA),5,71.43,4.37 (3.67-5.07)
astrocytes 4,201.0,0.114,8.0,18,15,83.33,4.21 (3.31-5.11),3,16.67,5.97 (3.68-8.27)
oligodendrocytes 0,1186.0,0.146,53.0,300,8,2.67,3.50 (3.09-3.91),292,97.33,3.80 (3.59-4.01)
microglia 1,127.0,0.108,17.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,681.0,0.104,59.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,347.0,0.3,85.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
