tipo_celular,module_size,GRK2_MM,GRK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.153,35.0,73,6,8.22,4.08 (3.80-4.36),67,91.78,3.51 (3.13-3.89)
T cells 18,727.0,0.158,61.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.1,26.0,136,2,1.47,2.44 (1.50-3.37),134,98.53,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.183,49.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.134,31.0,410,10,2.44,2.84 (1.92-3.75),400,97.56,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,338.0,0.067,11.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.134,19.0,455,13,2.86,1.85 (0.88-2.82),442,97.14,4.44 (4.26-4.63)
astrocytes 8,520.0,0.072,25.0,288,18,6.25,3.29 (2.67-3.91),270,93.75,4.25 (4.04-4.45)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.044,21.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.115,40.0,124,7,5.65,3.65 (3.05-4.25),117,94.35,4.23 (3.81-4.65)
astrocytes microglia 23,161.0,0.262,25.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.101,3.0,104,13,12.5,1.92 (1.33-2.50),91,87.5,3.01 (2.71-3.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.07,3.0,290,17,5.86,2.68 (2.02-3.33),273,94.14,3.90 (3.67-4.14)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
