tipo_celular,module_size,MBOAT2_MM,MBOAT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.16,9.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,448.0,0.141,50.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,703.0,0.091,7.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,637.0,0.18,58.0,91,10,10.99,1.27 (0.44-2.10),81,89.01,5.11 (4.65-5.57)
da like neurons 11,61.0,0.497,95.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.182,42.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,279.0,0.173,37.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.184,39.0,306,14,4.58,2.30 (1.65-2.96),292,95.42,5.30 (5.04-5.55)
astrocytes 8,577.0,0.085,50.0,83,3,3.61,2.41 (0.73-4.08),80,96.39,3.29 (2.83-3.75)
oligodendrocyte progenitor cells 12,138.0,0.562,98.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,130.0,0.07,6.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250.0,0.251,32.0,117,8,6.84,2.98 (2.34-3.61),109,93.16,5.62 (5.23-6.02)
astrocytes 15,268.0,0.227,80.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,112.0,0.186,61.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,398.0,0.148,49.0,138,8,5.8,2.00 (0.99-3.00),130,94.2,5.03 (4.67-5.39)
astrocytes microglia 23,166.0,0.354,77.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,255.0,0.178,56.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.185,95.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.137,87.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.224,98.0,84,6,7.14,1.79 (0.74-2.84),78,92.86,2.78 (2.43-3.12)
