tipo_celular,module_size,USP34_MM,USP34_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.076,5.0,140,7,5.0,2.55 (2.04-3.06),133,95.0,4.68 (4.39-4.96)
T cells 18,388,0.162,57.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,118,0.22,52.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,448,0.049,3.0,108,2,1.85,6.11 (5.67-6.55),106,98.15,3.18 (2.75-3.62)
GABA neurons expressing GLU receptors 22,459,0.094,16.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,1316,0.143,67.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,102,0.449,96.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA
GABA neurons expressing GABA receptors 13,288,0.249,75.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,1653,0.224,95.0,297,6,2.02,3.46 (2.38-4.54),291,97.98,3.68 (3.47-3.88)
oligodendrocytes 20,676,0.64,92.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,1300,0.181,37.0,306,15,4.9,2.30 (1.73-2.88),291,95.1,5.31 (5.06-5.57)
astrocytes 8,279,0.176,13.0,78,13,16.67,3.26 (2.34-4.17),65,83.33,4.57 (4.13-5.01)
oligodendrocyte progenitor cells 12,254,0.213,33.0,37,9,24.32,4.05 (2.91-5.19),28,75.68,4.68 (4.01-5.35)
oligodendrocytes 10,236,0.165,4.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,147,0.182,24.0,4,2,50.0,5.73 (5.42-6.03),2,50.0,4.95 (4.74-5.17)
astrocytes 15,268,0.302,92.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,287,0.363,66.0,105,9,8.57,3.36 (1.74-4.97),96,91.43,5.33 (4.90-5.75)
da neurons 6,398,0.211,71.0,138,17,12.32,2.13 (1.58-2.68),121,87.68,5.28 (4.93-5.63)
astrocytes microglia 23,229,0.178,9.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,255,0.108,4.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.198,60.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32)
microglia 1,315,0.147,38.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,127,0.256,51.0,45,4,8.89,2.74 (0.34-5.15),41,91.11,4.60 (3.73-5.48)
oligodendrocytes 2,407,0.138,30.0,122,14,11.48,1.00 (0.55-1.44),108,88.52,3.73 (3.35-4.11)
