tipo_celular,module_size,ARHGEF10L_MM,ARHGEF10L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.13,29.0,32,9,28.12,5.22 (4.19-6.24),23,71.88,2.98 (2.11-3.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.165,11.0,8,1,12.5,5.98 (NA-NA),7,87.5,3.92 (1.97-5.87)
oligodendrocyte progenitor cells 7,200.0,0.248,78.0,16,2,12.5,6.38 (4.00-8.75),14,87.5,3.52 (2.87-4.17)
GABA neurons expressing GLU receptors 22,567.0,0.233,66.0,16,1,6.25,2.23 (NA-NA),15,93.75,1.95 (1.23-2.68)
GLU like neurons 17,1247.0,0.204,85.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.14,29.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.25,94.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.182,93.0,66,16,24.24,3.14 (2.34-3.93),50,75.76,3.26 (2.76-3.76)
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,8,2.9,2.69 (1.71-3.67),268,97.1,3.58 (3.35-3.80)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,85.0,0.354,73.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,268.0,0.166,72.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.177,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.162,48.0,34,3,8.82,3.57 (1.31-5.84),31,91.18,5.48 (4.89-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.124,68.0,290,11,3.79,1.86 (1.43-2.30),279,96.21,3.91 (3.68-4.14)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
