tipo_celular,module_size,DPH5_MM,DPH5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.124,64.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,13,3.68,1.86 (1.21-2.52),340,96.32,3.99 (3.81-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.048,15.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.063,2.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,727.0,0.025,1.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.028,2.0,276,8,2.9,2.08 (1.36-2.79),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,1277.0,0.064,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.08,44.0,105,9,8.57,1.82 (1.10-2.53),96,91.43,3.35 (3.01-3.70)
oligodendrocytes 16,81.0,0.117,14.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.389,90.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,1807.0,0.143,47.0,104,10,9.62,1.95 (1.26-2.64),94,90.38,2.97 (2.67-3.26)
oligodendrocytes 0,2078.0,0.128,78.0,238,6,2.52,2.46 (1.55-3.37),232,97.48,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.057,12.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.118,11.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
