tipo_celular,module_size,UNC79_MM,UNC79_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.113,16.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.158,68.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.163,53.0,165,2,1.21,2.53 (2.34-2.73),163,98.79,5.11 (4.76-5.46)
GLU like neurons 17,795.0,0.21,80.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,191.0,0.135,22.0,93,3,3.23,2.12 (1.30-2.94),90,96.77,5.81 (5.43-6.18)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.358,95.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,1300.0,0.335,95.0,306,3,0.98,2.12 (1.30-2.94),303,99.02,5.14 (4.87-5.40)
astrocytes 8,771.0,0.063,21.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254.0,0.433,88.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,1277.0,0.176,83.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,145.0,0.361,84.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.07,34.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,112.0,0.164,43.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.295,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.15,44.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.237,89.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.169,90.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.192,37.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
