tipo_celular,module_size,PAN3_MM,PAN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.125,15.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,388.0,0.149,48.0,84,4,4.76,2.26 (2.13-2.40),80,95.24,3.01 (2.67-3.35)
astrocytes 5,1141.0,0.152,78.0,166,40,24.1,2.90 (2.42-3.38),126,75.9,3.59 (3.31-3.88)
oligodendrocyte progenitor cells 7,448.0,0.159,64.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069.0,0.257,95.0,37,3,8.11,2.03 (1.31-2.75),34,91.89,2.17 (1.67-2.67)
GLU like neurons 17,300.0,0.198,59.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,408.0,0.099,21.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.247,98.0,297,4,1.35,4.86 (3.32-6.41),293,98.65,3.65 (3.45-3.86)
oligodendrocytes 20,295.0,0.25,74.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,1300.0,0.124,14.0,306,8,2.61,1.75 (0.92-2.59),298,97.39,5.23 (4.97-5.48)
astrocytes 8,218.0,0.25,90.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,103.0,0.436,38.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107.0,0.49,100.0,358,74,20.67,2.90 (2.48-3.32),284,79.33,4.21 (4.01-4.40)
connective tissue cells 21,82.0,0.232,23.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,261.0,0.096,20.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,108.0,0.121,10.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.288,49.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752.0,0.164,66.0,96,17,17.71,3.02 (2.48-3.56),79,82.29,3.37 (2.97-3.76)
oligodendrocytes 0,1186.0,0.173,89.0,300,5,1.67,4.16 (3.13-5.20),295,98.33,3.79 (3.58-3.99)
microglia 1,315.0,0.211,69.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,1003.0,0.172,90.0,111,13,11.71,5.20 (4.63-5.77),98,88.29,3.02 (2.68-3.37)
oligodendrocytes 2,237.0,0.158,22.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
