tipo_celular,module_size,AACS_MM,AACS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.137,34.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.143,31.0,127,16,12.6,2.97 (2.09-3.86),111,87.4,4.03 (3.68-4.38)
GABA neurons expressing GLU receptors 22,1069.0,0.136,27.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.078,10.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,265.0,0.146,31.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.148,46.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.033,4.0,276,16,5.8,2.01 (1.42-2.61),260,94.2,3.66 (3.44-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.074,11.0,122,14,11.48,2.65 (2.02-3.28),108,88.52,4.22 (3.79-4.65)
astrocytes microglia 23,121.0,0.272,25.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
