tipo_celular,module_size,SZT2_MM,SZT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.108,16.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.104,32.0,136,2,1.47,NA,134,98.53,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,25,7.08,1.84 (1.32-2.35),328,92.92,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,599.0,0.111,7.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795.0,0.096,27.0,80,3,3.75,4.37 (NA-NA),77,96.25,5.70 (5.29-6.12)
da like neurons 11,853.0,0.207,85.0,133,9,6.77,1.48 (0.63-2.34),124,93.23,3.41 (3.09-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.025,2.0,36,1,2.78,NA,35,97.22,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.145,44.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.041,7.0,66,19,28.79,2.57 (1.70-3.43),47,71.21,3.56 (3.13-3.98)
oligodendrocyte progenitor cells 12,708.0,0.124,57.0,32,16,50.0,2.32 (1.34-3.31),16,50.0,4.48 (3.44-5.51)
oligodendrocytes 10,2107.0,0.105,31.0,358,25,6.98,1.97 (1.34-2.60),333,93.02,4.06 (3.87-4.24)
connective tissue cells 21,111.0,0.345,75.0,26,1,3.85,6.20 (NA-NA),25,96.15,2.33 (1.76-2.90)
astrocytes 15,1768.0,0.076,40.0,105,14,13.33,2.19 (1.57-2.80),91,86.67,3.39 (3.02-3.75)
oligodendrocytes 16,313.0,0.146,17.0,291,14,4.81,3.21 (2.63-3.79),277,95.19,4.40 (4.17-4.63)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.279,25.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.166,86.0,104,9,8.65,1.92 (0.97-2.87),95,91.35,2.96 (2.67-3.25)
oligodendrocytes 0,2078.0,0.126,74.0,238,3,1.26,2.64 (-0.54-5.82),235,98.74,3.65 (3.43-3.87)
microglia 1,1615.0,0.087,18.0,161,16,9.94,1.77 (0.84-2.70),145,90.06,3.47 (3.21-3.73)
oligodendrocytes 3,357.0,0.065,23.0,127,2,1.57,6.14 (6.03-6.26),125,98.43,3.06 (2.73-3.39)
oligodendrocytes 2,1630.0,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
