tipo_celular,module_size,TMEM178B_MM,TMEM178B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.165,52.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.121,44.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.191,64.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,795.0,0.128,48.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,191.0,0.38,73.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10)
GABA neurons expressing GABA receptors 13,266.0,0.212,76.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.195,51.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300.0,0.317,92.0,306,1,0.33,1.29 (NA-NA),305,99.67,5.11 (4.85-5.37)
astrocytes 8,283.0,0.242,91.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.327,64.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,806.0,0.188,60.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.109,70.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,149.0,0.284,71.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,553.0,0.227,89.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,255.0,0.284,70.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,514.0,0.109,5.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,479.0,0.151,49.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.127,48.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.314,87.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
