tipo_celular,module_size,RBM5_MM,RBM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.232,66.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,349.0,0.129,28.0,68,4,5.88,1.11 (0.68-1.54),64,94.12,4.64 (4.11-5.17)
astrocytes 5,1141.0,0.108,21.0,166,33,19.88,2.11 (1.75-2.46),133,80.12,3.78 (3.51-4.05)
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,58,16.43,2.15 (1.85-2.45),295,83.57,4.35 (4.17-4.53)
GABA neurons expressing GLU receptors 22,714.0,0.214,67.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,229.0,0.201,53.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215.0,0.09,11.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.121,45.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.246,81.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.093,31.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.102,77.0,276,40,14.49,1.91 (1.68-2.15),236,85.51,3.91 (3.68-4.14)
oligodendrocytes 10,2107.0,0.117,37.0,358,63,17.6,2.17 (1.82-2.52),295,82.4,4.38 (4.20-4.55)
connective tissue cells 21,88.0,0.242,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.115,75.0,105,32,30.48,2.23 (1.74-2.72),73,69.52,3.67 (3.28-4.06)
oligodendrocytes 16,82.0,0.225,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.226,11.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,721.0,0.131,15.0,61,7,11.48,2.86 (2.18-3.54),54,88.52,2.98 (2.52-3.44)
oligodendrocytes 0,1186.0,0.146,52.0,300,3,1.0,4.11 (1.37-6.85),297,99.0,3.79 (3.58-3.99)
microglia 1,1615.0,0.11,51.0,161,38,23.6,1.61 (1.34-1.87),123,76.4,3.95 (3.69-4.20)
oligodendrocytes 3,639.0,0.098,52.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.159,58.0,84,6,7.14,1.18 (0.65-1.72),78,92.86,2.84 (2.49-3.18)
