tipo_celular,module_size,TMEM259_MM,TMEM259_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.19,62.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.053,1.0,98,24,24.49,2.02 (1.45-2.58),74,75.51,3.53 (3.20-3.86)
astrocytes 5,328.0,0.105,18.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,27,7.65,2.31 (1.70-2.92),326,92.35,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.249,93.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.094,23.0,133,12,9.02,1.26 (0.57-1.95),121,90.98,3.49 (3.18-3.80)
GABA neurons expressing GABA receptors 13,101.0,0.149,38.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,338.0,0.087,23.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,250.0,0.099,19.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.185,36.0,455,29,6.37,3.27 (2.49-4.06),426,93.63,4.45 (4.26-4.63)
astrocytes 8,603.0,0.114,72.0,89,5,5.62,2.29 (0.39-4.19),84,94.38,2.80 (2.45-3.15)
oligodendrocyte progenitor cells 12,708.0,0.059,22.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,806.0,0.08,18.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,104.0,0.275,43.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.12,78.0,105,15,14.29,2.69 (1.98-3.39),90,85.71,3.31 (2.94-3.68)
oligodendrocytes 16,86.0,0.155,31.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.071,10.0,122,16,13.11,2.82 (1.86-3.78),106,86.89,4.23 (3.82-4.64)
astrocytes microglia 23,127.0,0.287,33.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.163,72.0,61,1,1.64,4.05 (NA-NA),60,98.36,2.95 (2.53-3.36)
oligodendrocytes 0,613.0,0.106,14.0,127,5,3.94,1.90 (1.34-2.45),122,96.06,3.13 (2.69-3.56)
microglia 1,958.0,0.075,5.0,290,16,5.52,2.72 (2.11-3.33),274,94.48,3.90 (3.66-4.13)
oligodendrocytes 3,743.0,0.108,78.0,76,2,2.63,4.81 (2.72-6.91),74,97.37,3.11 (2.71-3.51)
oligodendrocytes 2,528.0,0.172,31.0,175,4,2.29,3.37 (1.52-5.22),171,97.71,4.41 (4.06-4.77)
