tipo_celular,module_size,POGK_MM,POGK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.096,9.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.157,60.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.083,7.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,15,4.25,1.47 (0.93-2.01),338,95.75,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,487.0,0.292,74.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.065,10.0,275,15,5.45,1.47 (0.93-2.01),260,94.55,4.16 (3.91-4.42)
oligodendrocytes 20,322.0,0.038,10.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.109,11.0,455,14,3.08,1.44 (0.86-2.01),441,96.92,4.47 (4.29-4.65)
astrocytes 8,771.0,0.043,8.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.049,15.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,1277.0,0.048,10.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92.0,0.343,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.051,15.0,105,8,7.62,1.67 (1.22-2.12),97,92.38,3.35 (3.00-3.70)
oligodendrocytes 16,90.0,0.135,15.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.259,20.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.141,44.0,104,11,10.58,1.86 (1.29-2.43),93,89.42,2.99 (2.69-3.29)
oligodendrocytes 0,2078.0,0.111,43.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.074,6.0,161,15,9.32,1.47 (0.93-2.01),146,90.68,3.50 (3.24-3.77)
oligodendrocytes 3,681.0,0.054,10.0,87,10,11.49,1.82 (1.15-2.50),77,88.51,2.69 (2.40-2.98)
oligodendrocytes 2,1630.0,0.147,62.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
