tipo_celular,module_size,PHYHIPL_MM,PHYHIPL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.182,38.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,628.0,0.072,1.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.059,2.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42)
GLU like neurons 17,637.0,0.281,80.0,91,3,3.3,1.05 (0.09-2.01),88,96.7,4.70 (4.19-5.21)
da like neurons 11,172.0,0.29,68.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,357.0,0.127,30.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,450.0,0.395,78.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.515,80.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.105,21.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.31,68.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,708.0,0.179,71.0,32,1,3.12,0.26 (NA-NA),31,96.88,3.36 (2.55-4.16)
oligodendrocytes 10,236.0,0.477,46.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250.0,0.37,66.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,418.0,0.515,93.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,153.0,0.295,32.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,300.0,0.201,63.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,166.0,0.254,36.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,161.0,0.148,30.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,613.0,0.18,79.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.277,54.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,348.0,0.276,76.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
