tipo_celular,module_size,GOLGA5_MM,GOLGA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.084,6.0,98,3,3.06,1.68 (0.14-3.21),95,96.94,3.28 (2.80-3.76)
T cells 18,518.0,0.08,4.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,27,7.65,2.32 (1.59-3.05),326,92.35,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.067,4.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.276,74.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.185,85.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.042,7.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.031,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,69.0,0.392,89.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.293,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.292,32.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,8,3.36,3.31 (1.91-4.70),230,96.64,3.65 (3.43-3.87)
microglia 1,813.0,0.096,24.0,79,7,8.86,2.98 (2.40-3.56),72,91.14,3.11 (2.67-3.56)
oligodendrocytes 3,639.0,0.037,1.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.15,68.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
