tipo_celular,module_size,EPHX1_MM,EPHX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.111,21.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.159,35.0,302,9,2.98,2.70 (1.80-3.60),293,97.02,4.04 (3.81-4.27)
oligodendrocytes 20,358.0,0.026,6.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58)
GABA like neurons 14,2402.0,0.203,43.0,455,17,3.74,1.73 (1.04-2.42),438,96.26,4.48 (4.30-4.66)
astrocytes 8,1266.0,0.121,78.0,66,6,9.09,0.50 (0.30-0.70),60,90.91,3.55 (3.17-3.93)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.071,30.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14)
connective tissue cells 21,118.0,0.292,44.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.117,76.0,105,13,12.38,2.09 (1.37-2.81),92,87.62,3.39 (3.03-3.74)
oligodendrocytes 16,92.0,0.267,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.346,75.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,255.0,0.173,52.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,546.0,0.099,11.0,252,19,7.54,1.72 (1.10-2.33),233,92.46,4.35 (4.12-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.056,15.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,1630.0,0.133,31.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
