tipo_celular,module_size,NOL3_MM,NOL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.063,1.0,136,9,6.62,2.12 (1.46-2.78),127,93.38,3.30 (3.01-3.58)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.056,21.0,66,24,36.36,1.93 (1.48-2.39),42,63.64,4.17 (3.75-4.58)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.077,42.0,96,6,6.25,2.28 (1.68-2.87),90,93.75,3.72 (3.25-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.133,39.0,182,13,7.14,2.66 (1.98-3.35),169,92.86,3.73 (3.47-3.99)
astrocytes microglia 23,161.0,0.323,60.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.107,4.0,104,25,24.04,1.68 (1.37-2.00),79,75.96,3.28 (2.97-3.59)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
