tipo_celular,module_size,RPL19_MM,RPL19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.557,98.0,98,23,23.47,2.50 (1.93-3.08),75,76.53,3.51 (2.90-4.11)
T cells 18,506.0,0.511,95.0,225,24,10.67,2.68 (2.09-3.27),201,89.33,3.75 (3.48-4.01)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.416,98.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487.0,0.373,88.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.235,66.0,410,16,3.9,2.89 (2.19-3.58),394,96.1,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,417.0,0.163,52.0,213,34,15.96,2.13 (1.62-2.64),179,84.04,4.14 (3.91-4.38)
endothelial cells 9,916.0,0.642,100.0,302,12,3.97,3.14 (2.10-4.18),290,96.03,4.02 (3.79-4.25)
oligodendrocytes 20,938.0,0.157,65.0,169,18,10.65,2.94 (2.20-3.69),151,89.35,3.55 (3.32-3.77)
GABA like neurons 14,2402.0,0.559,93.0,455,35,7.69,2.01 (1.54-2.47),420,92.31,4.59 (4.42-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.52,100.0,235,12,5.11,3.34 (2.71-3.97),223,94.89,3.85 (3.61-4.10)
oligodendrocytes 10,483.0,0.432,93.0,129,12,9.3,3.70 (3.13-4.26),117,90.7,3.40 (2.98-3.83)
connective tissue cells 21,301.0,0.516,82.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.237,57.0,102,32,31.37,2.20 (1.75-2.65),70,68.63,3.96 (3.60-4.31)
da neurons 6,729.0,0.282,93.0,182,18,9.89,2.77 (2.12-3.41),164,90.11,3.73 (3.47-4.00)
astrocytes microglia 23,137.0,0.542,92.0,188,32,17.02,2.25 (1.79-2.71),156,82.98,4.97 (4.64-5.31)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.368,96.0,252,36,14.29,2.14 (1.66-2.62),216,85.71,4.50 (4.26-4.74)
microglia 1,406.0,0.632,99.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.322,98.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95)
oligodendrocytes 2,526.0,0.446,88.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
