tipo_celular,module_size,ACAD10_MM,ACAD10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.103,42.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,17,4.82,1.82 (0.89-2.76),336,95.18,4.03 (3.85-4.20)
GABA neurons expressing GLU receptors 22,203.0,0.431,95.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.124,43.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.08,35.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,2090.0,0.182,69.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.091,60.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,708.0,0.037,6.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.115,36.0,358,14,3.91,1.27 (0.72-1.82),344,96.09,4.00 (3.82-4.19)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.043,15.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,112.0,0.204,75.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.309,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.131,26.0,104,9,8.65,1.69 (0.99-2.40),95,91.35,2.98 (2.69-3.27)
oligodendrocytes 0,2078.0,0.088,8.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.067,23.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,407.0,0.132,24.0,122,10,8.2,1.33 (0.64-2.02),112,91.8,3.56 (3.17-3.96)
