tipo_celular,module_size,MTERF1_MM,MTERF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.175,49.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.15,38.0,68,1,1.47,1.74 (NA-NA),67,98.53,4.42 (3.86-4.98)
astrocytes 5,1141.0,0.148,74.0,166,15,9.04,1.41 (1.05-1.78),151,90.96,3.63 (3.39-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,34,9.63,1.50 (1.24-1.76),319,90.37,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,703.0,0.214,67.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,795.0,0.208,79.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,109.0,0.416,95.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.15,30.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,279.0,0.386,88.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.236,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.133,47.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.185,73.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.161,77.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,116.0,0.215,9.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,367.0,0.173,71.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,199.0,0.185,66.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,63.0,0.289,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.156,53.0,96,3,3.12,2.27 (0.89-3.66),93,96.88,3.33 (2.99-3.67)
oligodendrocytes 0,309.0,0.127,41.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.095,28.0,161,28,17.39,1.36 (1.09-1.63),133,82.61,3.79 (3.53-4.04)
oligodendrocytes 3,854.0,0.134,86.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804.0,0.13,24.0,84,6,7.14,1.28 (0.68-1.88),78,92.86,2.83 (2.48-3.17)
