tipo_celular,module_size,TFRC_MM,TFRC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.536,100.0,102,49,48.04,2.86 (2.49-3.24),53,51.96,4.10 (3.53-4.66)
T cells 18,518.0,0.115,22.0,131,2,1.53,5.26 (-0.65-11.18),129,98.47,3.04 (2.77-3.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.166,49.0,127,36,28.35,3.49 (2.95-4.02),91,71.65,4.04 (3.61-4.46)
GABA neurons expressing GLU receptors 22,599.0,0.148,20.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.095,18.0,91,26,28.57,2.81 (2.04-3.58),65,71.43,5.56 (5.08-6.04)
da like neurons 11,140.0,0.069,2.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.37,89.0,120,39,32.5,3.68 (3.23-4.12),81,67.5,5.11 (4.74-5.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.118,32.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.046,11.0,276,61,22.1,2.48 (2.19-2.78),215,77.9,3.94 (3.69-4.20)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.477,86.0,120,72,60.0,3.25 (2.89-3.60),48,40.0,4.30 (3.82-4.78)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.347,93.0,163,37,22.7,4.32 (3.89-4.75),126,77.3,3.52 (3.20-3.83)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
