tipo_celular,module_size,ADCY6_MM,ADCY6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,459.0,0.108,24.0,165,16,9.7,2.62 (2.10-3.14),149,90.3,5.46 (5.13-5.80)
GLU like neurons 17,1247.0,0.23,91.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.104,21.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.23,54.0,62,8,12.9,3.82 (2.87-4.78),54,87.1,4.08 (3.59-4.57)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.157,52.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.43,96.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.221,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
