tipo_celular,module_size,TRPC1_MM,TRPC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.151,49.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141.0,0.176,93.0,166,5,3.01,1.37 (0.34-2.40),161,96.99,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,448.0,0.08,9.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.095,18.0,165,32,19.39,3.62 (3.22-4.02),133,80.61,5.63 (5.24-6.02)
GLU like neurons 17,795.0,0.165,66.0,80,7,8.75,3.90 (3.10-4.70),73,91.25,5.93 (5.52-6.35)
da like neurons 11,289.0,0.234,70.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.175,81.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.29,88.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300.0,0.199,47.0,306,43,14.05,3.26 (2.86-3.66),263,85.95,5.55 (5.28-5.82)
astrocytes 8,354.0,0.159,71.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,143.0,0.446,62.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.179,84.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92.0,0.279,50.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,338.0,0.101,13.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,51.0,0.157,8.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.267,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.199,97.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64)
oligodendrocytes 0,1186.0,0.146,53.0,300,2,0.67,2.30 (1.83-2.77),298,99.33,3.81 (3.60-4.01)
microglia 1,1615.0,0.134,80.0,161,8,4.97,1.17 (0.56-1.78),153,95.03,3.39 (3.12-3.66)
oligodendrocytes 3,639.0,0.147,80.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,804.0,0.229,99.0,84,4,4.76,0.60 (0.21-1.00),80,95.24,2.79 (2.45-3.12)
