tipo_celular,module_size,EML1_MM,EML1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,51.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.174,47.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.091,17.0,91,20,21.98,2.53 (1.65-3.41),71,78.02,5.22 (4.70-5.73)
da like neurons 11,77.0,0.084,10.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.295,76.0,120,5,4.17,3.52 (2.93-4.11),115,95.83,4.66 (4.34-4.99)
oligodendrocytes 20,271.0,0.173,51.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.114,22.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.04,6.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.083,33.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92.0,0.34,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.042,11.0,96,8,8.33,3.50 (2.49-4.52),88,91.67,3.62 (3.14-4.11)
oligodendrocytes 16,112.0,0.212,78.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.368,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.145,51.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,117.0,0.126,35.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.185,98.0,161,11,6.83,1.12 (0.45-1.80),150,93.17,3.45 (3.19-3.71)
oligodendrocytes 3,639.0,0.125,71.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.159,58.0,84,8,9.52,2.06 (0.96-3.17),76,90.48,2.77 (2.42-3.12)
