tipo_celular,module_size,EDIL3_MM,EDIL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.679,98.0,68,1,1.47,2.43 (NA-NA),67,98.53,4.41 (3.85-4.97)
astrocytes 5,165.0,0.734,99.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,628.0,0.126,21.0,164,4,2.44,4.46 (3.95-4.96),160,97.56,4.07 (3.73-4.41)
GABA neurons expressing GLU receptors 22,567.0,0.43,93.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.516,97.0,91,4,4.4,1.52 (0.21-2.83),87,95.6,4.73 (4.21-5.24)
da like neurons 11,408.0,0.489,91.0,25,3,12.0,3.44 (1.61-5.28),22,88.0,4.82 (3.31-6.33)
GABA neurons expressing GABA receptors 13,288.0,0.224,68.0,93,1,1.08,2.43 (NA-NA),92,98.92,5.19 (4.69-5.68)
endothelial cells 9,450.0,0.598,93.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.053,24.0,110,1,0.91,3.22 (NA-NA),109,99.09,5.01 (4.56-5.47)
GABA like neurons 14,1300.0,0.094,9.0,306,3,0.98,2.53 (1.81-3.26),303,99.02,5.13 (4.87-5.39)
astrocytes 8,771.0,0.854,100.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.233,81.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,204.0,0.568,90.0,92,1,1.09,2.43 (NA-NA),91,98.91,5.76 (5.29-6.23)
connective tissue cells 21,250.0,0.557,83.0,117,3,2.56,3.61 (2.01-5.20),114,97.44,5.44 (5.03-5.84)
astrocytes 15,458.0,0.504,98.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,92.0,0.136,14.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.292,86.0,138,1,0.72,0.55 (NA-NA),137,99.28,4.86 (4.50-5.23)
astrocytes microglia 23,54.0,0.696,100.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.63,98.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49)
oligodendrocytes 0,613.0,0.185,82.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.173,91.0,87,3,3.45,1.01 (0.08-1.93),84,96.55,2.64 (2.37-2.92)
oligodendrocytes 2,528.0,0.216,59.0,175,9,5.14,3.96 (3.24-4.68),166,94.86,4.40 (4.03-4.76)
