tipo_celular,module_size,FAM168B_MM,FAM168B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.219,57.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477,0.159,48.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.104,43.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.128,38.0,353,2,0.57,0.45 (0.32-0.59),351,99.43,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,823,0.178,50.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380,0.174,52.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,120,0.18,27.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,238,0.166,52.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.094,22.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233,0.177,42.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.143,54.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.037,7.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303,0.116,87.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,735,0.1,52.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,102,0.274,45.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,261,0.176,66.0,8,1,12.5,0.39 (NA-NA),7,87.5,4.23 (2.19-6.27)
oligodendrocytes 16,91,0.235,62.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.144,61.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,140,0.285,34.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.149,45.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.104,29.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,958,0.129,75.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,1003,0.061,13.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.147,68.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
