tipo_celular,module_size,IMMP1L_MM,IMMP1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.102,11.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.219,88.0,98,17,17.35,1.41 (0.82-1.99),81,82.65,3.53 (3.23-3.82)
astrocytes 5,1656.0,0.128,70.0,136,6,4.41,2.37 (1.29-3.44),130,95.59,3.25 (2.97-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,28,7.93,1.86 (1.36-2.35),325,92.07,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,400.0,0.092,3.0,24,19,79.17,1.78 (1.27-2.29),5,20.83,3.58 (3.02-4.15)
GLU like neurons 17,1316.0,0.085,15.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,408.0,0.08,12.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.111,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.297,89.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.027,1.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.077,33.0,32,10,31.25,1.73 (0.80-2.65),22,68.75,4.09 (3.13-5.04)
oligodendrocytes 10,2107.0,0.133,45.0,358,24,6.7,1.85 (1.27-2.42),334,93.3,4.06 (3.87-4.25)
connective tissue cells 21,84.0,0.39,88.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.083,43.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,64.0,0.191,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.431,99.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.128,22.0,104,15,14.42,1.89 (1.16-2.62),89,85.58,3.04 (2.75-3.33)
oligodendrocytes 0,479.0,0.133,35.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.078,8.0,161,17,10.56,1.01 (0.70-1.31),144,89.44,3.61 (3.35-3.86)
oligodendrocytes 3,1003.0,0.114,67.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.129,22.0,84,4,4.76,0.69 (0.37-1.02),80,95.24,2.81 (2.48-3.15)
