tipo_celular,module_size,LSM4_MM,LSM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.082,6.0,225,21,9.33,2.50 (1.85-3.15),204,90.67,3.76 (3.50-4.02)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,203.0,0.352,81.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.312,83.0,410,13,3.17,2.92 (2.17-3.66),397,96.83,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,417.0,0.196,70.0,213,29,13.62,1.93 (1.46-2.40),184,86.38,4.16 (3.92-4.39)
endothelial cells 9,916.0,0.169,38.0,302,13,4.3,2.93 (1.52-4.33),289,95.7,4.02 (3.79-4.24)
oligodendrocytes 20,250.0,0.155,36.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.406,80.0,455,52,11.43,2.54 (2.07-3.00),403,88.57,4.63 (4.45-4.81)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.249,95.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.249,69.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21)
da neurons 6,729.0,0.214,77.0,182,15,8.24,2.51 (1.89-3.14),167,91.76,3.74 (3.48-4.01)
astrocytes microglia 23,115.0,0.283,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.145,34.0,252,28,11.11,1.91 (1.43-2.39),224,88.89,4.47 (4.23-4.71)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.127,57.0,345,10,2.9,2.73 (2.12-3.35),335,97.1,4.33 (4.12-4.54)
oligodendrocytes 2,526.0,0.224,38.0,213,2,0.94,4.31 (4.31-4.31),211,99.06,3.97 (3.70-4.25)
