tipo_celular,module_size,PTDSS1_MM,PTDSS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.206,42.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518.0,0.114,22.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,22,6.23,2.45 (1.54-3.36),331,93.77,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,703.0,0.246,82.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,489.0,0.134,48.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,1220.0,0.139,33.0,410,11,2.68,3.39 (2.97-3.81),399,97.32,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,357.0,0.151,44.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.136,20.0,455,18,3.96,2.03 (1.33-2.72),437,96.04,4.48 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,16,5.8,3.75 (2.87-4.63),260,94.2,3.52 (3.30-3.75)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.123,51.0,235,4,1.7,2.32 (0.69-3.96),231,98.3,4.02 (3.76-4.27)
astrocytes microglia 23,131.0,0.234,9.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.082,9.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
