tipo_celular,module_size,ZFP36L2_MM,ZFP36L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.382,83.0,140,32,22.86,3.86 (3.41-4.32),108,77.14,4.78 (4.45-5.11)
T cells 18,506.0,0.261,70.0,225,22,9.78,2.95 (2.34-3.56),203,90.22,3.71 (3.44-3.98)
astrocytes 5,322.0,0.253,79.0,58,14,24.14,2.94 (2.38-3.50),44,75.86,4.62 (4.15-5.08)
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,62,17.56,2.91 (2.46-3.37),291,82.44,4.17 (3.99-4.36)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.06,7.0,54,1,1.85,5.24 (NA-NA),53,98.15,4.83 (4.18-5.47)
oligodendrocytes 20,221.0,0.19,48.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.127,76.0,89,9,10.11,1.22 (1.03-1.40),80,89.89,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,708.0,0.15,64.0,32,8,25.0,1.63 (0.31-2.95),24,75.0,3.89 (3.03-4.76)
oligodendrocytes 10,2107.0,0.385,97.0,358,74,20.67,2.88 (2.48-3.28),284,79.33,4.23 (4.04-4.43)
connective tissue cells 21,301.0,0.193,6.0,158,4,2.53,1.47 (0.66-2.28),154,97.47,4.36 (4.00-4.73)
astrocytes 15,1401.0,0.137,84.0,96,5,5.21,2.72 (1.72-3.72),91,94.79,3.67 (3.20-4.15)
oligodendrocytes 16,158.0,0.179,37.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.337,65.0,99,17,17.17,4.05 (3.46-4.64),82,82.83,4.35 (3.97-4.74)
astrocytes 4,208.0,0.181,42.0,173,3,1.73,3.58 (2.17-4.99),170,98.27,3.80 (3.50-4.11)
oligodendrocytes 0,2078.0,0.124,71.0,238,23,9.66,4.21 (3.52-4.89),215,90.34,3.56 (3.33-3.79)
microglia 1,315.0,0.256,81.0,144,23,15.97,3.84 (3.40-4.29),121,84.03,4.59 (4.23-4.94)
oligodendrocytes 3,94.0,0.107,59.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.155,78.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
