tipo_celular,module_size,TSC2_MM,TSC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.067,3.0,142,4,2.82,3.79 (2.95-4.62),138,97.18,3.19 (2.92-3.46)
astrocytes 5,932.0,0.093,25.0,80,3,3.75,4.02 (2.96-5.08),77,96.25,3.66 (3.23-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,66,18.7,2.94 (2.49-3.39),287,81.3,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,703.0,0.181,47.0,23,2,8.7,1.18 (NA-NA),21,91.3,2.13 (1.39-2.88)
GLU like neurons 17,1247.0,0.12,39.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,215.0,0.385,94.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.073,9.0,297,7,2.36,4.33 (3.09-5.57),290,97.64,3.66 (3.45-3.87)
oligodendrocytes 20,253.0,0.388,94.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.25,94.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.104,69.0,66,25,37.88,2.74 (2.05-3.43),41,62.12,3.61 (3.12-4.09)
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,50,18.12,2.96 (2.49-3.43),226,81.88,3.69 (3.45-3.93)
oligodendrocytes 10,1277.0,0.035,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.325,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.038,5.0,8,5,62.5,2.35 (0.70-4.00),3,37.5,7.00 (7.00-7.00)
oligodendrocytes 16,69.0,0.236,71.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.254,18.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,721.0,0.16,66.0,61,7,11.48,4.47 (2.90-6.03),54,88.52,2.76 (2.37-3.14)
oligodendrocytes 0,2078.0,0.125,73.0,238,24,10.08,4.00 (3.32-4.69),214,89.92,3.59 (3.36-3.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.084,42.0,127,1,0.79,6.20 (NA-NA),126,99.21,3.09 (2.76-3.42)
oligodendrocytes 2,407.0,0.134,27.0,122,41,33.61,3.10 (2.44-3.76),81,66.39,3.49 (3.02-3.96)
