tipo_celular,module_size,KIAA0586_MM,KIAA0586_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.167,59.0,71,5,7.04,2.15 (0.94-3.36),66,92.96,2.66 (2.23-3.10)
T cells 18,518.0,0.185,69.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.117,53.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.153,76.0,353,24,6.8,2.12 (1.55-2.70),329,93.2,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,203.0,0.169,14.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795.0,0.092,25.0,80,4,5.0,4.39 (4.23-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,265.0,0.118,20.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.114,39.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.23,70.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.154,63.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64)
astrocytes 8,771.0,0.055,16.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.128,93.0,276,15,5.43,2.29 (1.60-2.97),261,94.57,3.62 (3.40-3.85)
oligodendrocytes 10,1277.0,0.084,34.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,93.0,0.198,10.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.061,24.0,105,8,7.62,1.99 (1.12-2.85),97,92.38,3.32 (2.97-3.67)
oligodendrocytes 16,104.0,0.207,45.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,518.0,0.124,64.0,122,13,10.66,2.16 (1.45-2.86),109,89.34,4.29 (3.88-4.69)
astrocytes microglia 23,110.0,0.303,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.165,75.0,65,7,10.77,4.27 (3.68-4.86),58,89.23,2.79 (2.37-3.20)
oligodendrocytes 0,1186.0,0.131,29.0,300,4,1.33,2.92 (1.93-3.91),296,98.67,3.80 (3.60-4.01)
microglia 1,813.0,0.096,24.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.131,84.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.193,49.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
