tipo_celular,module_size,KCTD1_MM,KCTD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.157,48.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,54,15.3,2.19 (1.86-2.53),299,84.7,4.29 (4.11-4.47)
GABA neurons expressing GLU receptors 22,823.0,0.268,91.0,23,4,17.39,2.39 (-0.32-5.11),19,82.61,2.40 (1.62-3.18)
GLU like neurons 17,1247.0,0.086,17.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,209.0,0.357,88.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.344,95.0,18,9,50.0,0.97 (0.45-1.48),9,50.0,2.79 (1.85-3.73)
GABA like neurons 14,3052.0,0.14,52.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,140.0,0.261,83.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,42,15.22,2.15 (1.82-2.47),234,84.78,3.86 (3.63-4.09)
oligodendrocytes 10,1277.0,0.051,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.132,3.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1401.0,0.125,80.0,96,6,6.25,2.59 (1.46-3.73),90,93.75,3.68 (3.21-4.15)
oligodendrocytes 16,94.0,0.212,51.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.273,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.112,5.0,96,13,13.54,2.68 (2.12-3.24),83,86.46,3.39 (3.02-3.76)
oligodendrocytes 0,479.0,0.153,52.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.108,62.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.102,3.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
