tipo_celular,module_size,RNF38_MM,RNF38_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.145,19.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,477.0,0.215,80.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,156.0,0.109,22.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,33,9.35,2.16 (1.61-2.72),320,90.65,4.09 (3.90-4.27)
GABA neurons expressing GLU receptors 22,203.0,0.189,19.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795.0,0.046,2.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,94.0,0.214,47.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.184,84.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87)
oligodendrocytes 20,348.0,0.06,30.0,33,4,12.12,3.01 (2.78-3.24),29,87.88,2.69 (2.13-3.25)
GABA like neurons 14,3052.0,0.163,70.0,125,5,4.0,3.28 (2.73-3.82),120,96.0,3.35 (3.02-3.68)
astrocytes 8,1266.0,0.097,65.0,66,13,19.7,1.74 (1.07-2.41),53,80.3,3.67 (3.24-4.09)
oligodendrocyte progenitor cells 12,3303.0,0.126,92.0,276,25,9.06,2.60 (2.00-3.21),251,90.94,3.64 (3.41-3.87)
oligodendrocytes 10,2107.0,0.238,80.0,358,33,9.22,2.16 (1.61-2.72),325,90.78,4.06 (3.87-4.25)
connective tissue cells 21,106.0,0.223,20.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,443.0,0.126,31.0,9,5,55.56,4.28 (3.35-5.21),4,44.44,1.58 (-0.37-3.52)
oligodendrocytes 16,149.0,0.185,42.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.188,13.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752.0,0.148,41.0,96,7,7.29,4.95 (4.11-5.79),89,92.71,3.22 (2.89-3.56)
oligodendrocytes 0,1186.0,0.157,71.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00)
microglia 1,1615.0,0.11,51.0,161,32,19.88,2.17 (1.59-2.75),129,80.12,3.56 (3.28-3.84)
oligodendrocytes 3,1003.0,0.095,49.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,804.0,0.142,38.0,84,17,20.24,3.12 (2.25-3.98),67,79.76,2.59 (2.23-2.96)
