tipo_celular,module_size,STARD3_MM,STARD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.125,28.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,393.0,0.101,13.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59)
astrocytes 5,932.0,0.165,96.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.266,89.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.124,20.0,120,4,3.33,3.51 (2.24-4.78),116,96.67,4.65 (4.33-4.97)
oligodendrocytes 20,330.0,0.136,32.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,2090.0,0.217,86.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.17,92.0,66,16,24.24,1.67 (1.11-2.22),50,75.76,3.83 (3.42-4.25)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.052,6.0,358,29,8.1,2.05 (1.53-2.56),329,91.9,4.08 (3.89-4.27)
connective tissue cells 21,111.0,0.458,98.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768.0,0.082,46.0,105,20,19.05,2.11 (1.62-2.61),85,80.95,3.50 (3.12-3.88)
oligodendrocytes 16,158.0,0.304,91.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.294,65.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,255.0,0.182,58.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,2078.0,0.069,1.0,238,5,2.1,2.38 (1.14-3.63),233,97.9,3.67 (3.45-3.89)
microglia 1,958.0,0.061,2.0,290,6,2.07,2.29 (1.74-2.84),284,97.93,3.85 (3.62-4.09)
oligodendrocytes 3,242.0,0.056,5.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.099,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
