tipo_celular,module_size,BTBD1_MM,BTBD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.183,34.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,624.0,0.107,17.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.123,62.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,21,5.95,1.47 (0.97-1.97),332,94.05,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.211,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.117,44.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,204.0,0.217,64.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.073,9.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.241,81.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.129,41.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.043,8.0,66,18,27.27,2.12 (1.39-2.85),48,72.73,3.74 (3.31-4.17)
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,13,4.71,1.92 (1.37-2.46),263,95.29,3.63 (3.41-3.85)
oligodendrocytes 10,2107.0,0.1,29.0,358,22,6.15,1.43 (0.95-1.91),336,93.85,4.06 (3.87-4.24)
connective tissue cells 21,104.0,0.304,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.041,12.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,116.0,0.223,62.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.287,41.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.15,59.0,104,11,10.58,1.70 (1.04-2.36),93,89.42,3.01 (2.72-3.30)
oligodendrocytes 0,2078.0,0.128,78.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,958.0,0.127,72.0,290,6,2.07,2.00 (0.59-3.41),284,97.93,3.85 (3.62-4.08)
oligodendrocytes 3,743.0,0.051,9.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.147,61.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
