tipo_celular,module_size,RNF149_MM,RNF149_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.363,92.0,102,14,13.73,2.71 (2.04-3.38),88,86.27,3.63 (3.23-4.04)
T cells 18,282,0.183,58.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141,0.093,8.0,166,21,12.65,2.60 (1.92-3.28),145,87.35,3.50 (3.23-3.76)
oligodendrocyte progenitor cells 7,4285,0.148,70.0,353,31,8.78,2.25 (1.70-2.79),322,91.22,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,1069,0.224,86.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685,0.057,5.0,135,11,8.15,2.30 (1.62-2.98),124,91.85,3.28 (2.96-3.61)
da like neurons 11,120,0.125,16.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,101,0.241,97.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.144,63.0,297,7,2.36,3.04 (2.03-4.05),290,97.64,3.68 (3.47-3.88)
oligodendrocytes 20,295,0.242,72.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.231,98.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68)
astrocytes 8,577,0.076,43.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303,0.102,76.0,276,22,7.97,2.88 (2.36-3.40),254,92.03,3.60 (3.37-3.83)
oligodendrocytes 10,2107,0.326,92.0,358,30,8.38,2.25 (1.68-2.82),328,91.62,4.03 (3.83-4.22)
connective tissue cells 21,102,0.254,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.132,83.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,121,0.181,27.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,518,0.097,35.0,122,21,17.21,2.55 (1.97-3.12),101,82.79,4.41 (3.97-4.84)
astrocytes microglia 23,253,0.285,70.0,47,4,8.51,2.41 (-0.47-5.28),43,91.49,2.87 (2.54-3.20)
astrocytes 4,721,0.157,61.0,61,3,4.92,3.87 (3.87-3.87),58,95.08,2.92 (2.49-3.35)
oligodendrocytes 0,1186,0.159,73.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00)
microglia 1,480,0.202,56.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003,0.07,20.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,921,0.121,24.0,200,3,1.5,2.57 (1.64-3.50),197,98.5,3.64 (3.37-3.91)
